License Plate,Make,Model,Odometer Value (Last),Fuel Type,Fuel UOM
GJ16AY8299,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AW3899,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AV8172,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06AV9212,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AY1499,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AY8799,Unspecified,Chemical Tanker,0,Diesel,Litre
RJ32GD4724,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06BT5999,Unspecified,Chemical Tanker,0,Diesel,Litre
RJ40GA1069,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06BT5199,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AW8955,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06BT4199,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AV8833,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06BT8099,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06AV7399,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AV4299,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ12BW2610,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AY1699,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06BT5499,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AV6390,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AW3790,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AV6183,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AV1899,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AW1232,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ39T8037,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06AX3699,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06AZ2487,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06BT5299,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ12BY5587,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ12BW9567,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ12BY7755,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06BT5699,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AV8136,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AY1199,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AW7275,Unspecified,Chemical Tanker,0,Diesel,Litre
RJ40GA1069,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AY1299,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AW2799,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AX9603,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AV5481,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AW8755,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06BT6588,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06BT1999,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AY9399,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AV7263,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06BT4799,Unspecified,Chemical Tanker,0,Diesel,Litre
MP09HH6022,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ05BV6099,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06AZ2599,Unspecified,Chemical Tanker,0,Diesel,Litre
MP09HH4222,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AV2199,Unspecified,Chemical Tanker,0,Diesel,Litre
RJ14GJ9680,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AW6572,Unspecified,Chemical Tanker,0,Diesel,Litre
HJ06AX9603,Unspecified,Chemical Tanker,0,Diesel,Litre
RJ01GC8564,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AY4955,Unspecified,Chemical Tanker,0,Diesel,Litre
RJ06GC3015,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ12BW1975,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06AX125,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ06AZ7999,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ12BW4726,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AY3799,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AW2499,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AW9584,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ16AY7499,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ12BW1948,Unspecified,Chemical Tanker,0,Diesel,Litre
GJ39T6037,Unspecified,Chemical Tanker,0,Diesel,Litre
